Species,Parity,Reference
Anolis_ernestwilliamsi,0,[7]
Anolis_etheridgei,0,[7]
Anolis_eugenegrahami,0,[7]
Anolis_eulaemus,0,[7]
Anolis_euskalerriari,0,[7]
Anolis_evermanni,0,[7]
Anolis_extremus,0,[7]
Anolis_fairchildi,0,[7]
Anolis_fasciatus,0,[7]
Anolis_ferreus,0,[7]
Anolis_festae,0,[7]
Anolis_fitchi,0,[7]
Anolis_forbesi,0,[7]
Anolis_fortunensis,0,[7]
Anolis_fowleri,0,[7]
Anolis_fraseri,0,[7]
Anolis_frenatus,0,[7]
Anolis_fugitivus,0,[7]
Anolis_fungosus,0,[7]
Anolis_fuscoauratus,0,[7]
Anolis_gadovii,0,[7]
Anolis_garmani,0,[7]
Anolis_garridoi,0,[7]
Anolis_gemmosus,0,[7]
Anolis_gibbiceps,0,[7]
Anolis_gingivinus,0,[7]
Anolis_gorgonae,0,[7]
Anolis_gracilipes,0,[7]
Anolis_grahami,0,[7]
Anolis_granuliceps,0,[7]
Anolis_greyi,0,[7]
Anolis_griseus,0,[7]
Anolis_gruuo,0,[7]
Anolis_guafe,0,[7]
Anolis_guamuhaya,0,[7]
Anolis_guazuma,0,[7]
Anolis_gundlachi,0,[7]
Anolis_haetianus,0,[7]
Anolis_haguei,0,[7]
Anolis_hendersoni,0,[7]
Anolis_heterodermus,0,[7]
Anolis_hobartsmithi,0,[7]
Anolis_homolechis,0,[7]
Anolis_huilae,0,[7]
Anolis_humilis,0,[7]
Anolis_ibague,0,[7]
Anolis_imias,0,[7]
Anolis_impetigosus,0,[7]
Anolis_incredulus,0,[7]
Anolis_inderenae,0,[7]
Anolis_inexpectatus,0,[7]
Anolis_insignis,0,[7]
Anolis_insolitus,0,[7]
Anolis_intermedius,0,[7]
Anolis_isolepis,0,[7]
Anolis_isthmicus,0,[7]
Anolis_jacare,0,[7]
Anolis_johnmeyeri,0,[7]
Anolis_juangundlachi,0,[7]
Anolis_jubar,0,[7]
Anolis_kemptoni,0,[7]
Anolis_koopmani,0,[7]
Anolis_kreutzi,0,[7]
Anolis_krugi,0,[7]
Anolis_kunayalae,0,[7]
Anolis_laevis,0,[7]
Anolis_laeviventris,0,[7]
Anolis_lamari,0,[7]
Anolis_latifrons,0,[7]
Anolis_leachii,0,[7]
Anolis_lemniscatus,0,[7]
Anolis_lemurinus,0,[7]
Anolis_limifrons,0,[7]
Anolis_lineatopus,0,[7]
Anolis_lineatus,0,[7]
Anolis_liogaster,0,[7]
Anolis_lionotus,0,[7]
Anolis_lividus,0,[7]
Anolis_longicauda,0,[7]
Anolis_longiceps,0,[7]
Anolis_longitibialis,0,[7]
Anolis_loveridgei,0,[7]
Anolis_loysiana,0,[7]
Anolis_luciae,0,[7]
Anolis_lucius,0,[7]
Anolis_luteogularis,0,[7]
Anolis_luteosignifer,0,[7]
Anolis_lynchi,0,[7]
Anolis_macilentus,0,[7]
Anolis_macrinii,0,[7]
Anolis_macrolepis,0,[7]
Anolis_macrophallus,0,[7]
Anolis_maculigula,0,[7]
Anolis_maculiventris,0,[7]
Anolis_magnaphallus,0,[7]
Anolis_marcanoi,0,[7]
Anolis_mariarum,0,[7]
Anolis_marmoratus,0,[7]
Anolis_marron,0,[7]
Anolis_matudai,0,[7]
Anolis_maynardi,0,[7]
Anolis_medemi,0,[7]
Anolis_megalopithecus,0,[7]
Anolis_megapholidotus,0,[7]
Anolis_menta,0,[7]
Anolis_meridionalis,0,[7]
Anolis_mestrei,0,[7]
Anolis_microlepidotus,0,[7]
Anolis_microlepis,0,[7]
Anolis_microtus,0,[7]
Anolis_milleri,0,[7]
Anolis_mirus,0,[7]
Anolis_monensis,0,[7]
Anolis_monticola,0,[7]
Anolis_muralla,0,[7]
Anolis_nasofrontalis,0,[7]
Anolis_naufragus,0,[7]
Anolis_neblininus,0,[7]
Anolis_nebuloides,0,[7]
Anolis_nebulosus,0,[7]
Anolis_nelsoni,0,[7]
Anolis_nicefori,0,[7]
Anolis_nigrolineatus,0,[7]
Anolis_nitens,0,[7]
Anolis_noblei,0,[7]
Anolis_notopholis,0,[7]
Anolis_nubilis,0,[7]
Anolis_occultus,0,[7]
Anolis_ocelloscapularis,0,[7]
Anolis_oculatus,0,[7]
Anolis_oligaspis,0,[7]
Anolis_olssoni,0,[7]
Anolis_omiltemanus,0,[7]
Anolis_onca,0,[7]
Anolis_opalinus,0,[7]
Anolis_ophiolepis,0,[7]
Anolis_oporinus,0,[7]
Anolis_orcesi,0,[7]
Anolis_ortonii,0,[7]
Anolis_oxylophus,0,[7]
Anolis_pachypus,0,[7]
Anolis_palmeri,0,[7]
Anolis_paravertebralis,0,[7]
Anolis_parilis,0,[7]
Anolis_parvicirculatus,0,[7]
Anolis_paternus,0,[7]
Anolis_pentaprion,0,[7]
Anolis_peraccae,0,[7]
Anolis_petersii,0,[7]
Anolis_philopunctatus,0,[7]
Anolis_phyllorhinus,0,[7]
Anolis_pigmaequestris,0,[7]
Anolis_pijolense,0,[7]
Anolis_pinchoti,0,[7]
Anolis_placidus,0,[7]
Anolis_poecilopus,0,[7]
Anolis_pogus,0,[7]
Anolis_polylepis,0,[7]
Anolis_polyrhachis,0,[7]
Anolis_poncensis,0,[7]
Anolis_porcatus,0,[7]
Anolis_porcus,0,[7]
Anolis_princeps,0,[7]
Anolis_proboscis,0,[7]
Anolis_propinquus,0,[7]
Anolis_pseudokemptoni,0,[7]
Anolis_pseudopachypus,0,[7]
Anolis_pseudotigrinus,0,[7]
Anolis_pulchellus,0,[7]
Anolis_pumilus,0,[7]
Anolis_punctatus,0,[7]
Anolis_purpurescens,0,[7]
Anolis_purpurgularis,0,[7]
Anolis_pygmaeus,0,[7]
Anolis_quadriocellifer,0,[7]
Anolis_quaggulus,0,[7]
Anolis_quercorum,0,[7]
Anolis_radulinus,0,[7]
Anolis_reconditus,0,[7]
Anolis_rejectus,0,[7]
Anolis_rhombifer,0,[7]
Anolis_richardii,0,[7]
Anolis_ricordi,0,[7]
Anolis_rimarum,0,[7]
Anolis_rivalis,0,[7]
Anolis_roatanensis,0,[7]
Anolis_rodriguezi,0,[7]
Anolis_roosevelti,0,[7]
Anolis_roquet,0,[7]
Anolis_rubribarbaris,0,[7]
Anolis_rubribarbus,0,[7]
Anolis_ruibali,0,[7]
Anolis_ruizi,0,[7]
Anolis_rupinae,0,[7]
Anolis_sabanus,0,[7]
Anolis_sagrei,0,[7]
Anolis_salvini,0,[7]
Anolis_santamartae,0,[7]
Anolis_scapularis,0,[7]
Anolis_schiedei,0,[7]
Anolis_schmidti,0,[7]
Anolis_scriptus,0,[7]
Anolis_semilineatus,0,[7]
Anolis_sericeus,0,[7]
Anolis_serranoi,0,[7]
Anolis_sheplani,0,[7]
Anolis_shrevei,0,[7]
Anolis_simmonsi,0,[7]
Anolis_singularis,0,[7]
Anolis_smallwoodi,0,[7]
Anolis_smaragdinus,0,[7]
Anolis_sminthus,0,[7]
Anolis_solitarius,0,[7]
Anolis_spectrum,0,[7]
Anolis_squamulatus,0,[7]
Anolis_strahmi,0,[7]
Anolis_stratulus,0,[7]
Anolis_subocularis,0,[7]
Anolis_sulcifrons,0,[7]
Anolis_taylori,0,[7]
Anolis_terraealtae,0,[7]
Anolis_terueli,0,[7]
Anolis_tetarii,0,[7]
Anolis_tigrinus,0,[7]
Anolis_toldo,0,[7]
Anolis_tolimensis,0,[7]
Anolis_townsendi,0,[7]
Anolis_trachyderma,0,[7]
Anolis_transversalis,0,[7]
Anolis_trinitatis,0,[7]
Anolis_tropidogaster,0,[7]
Anolis_tropidolepis,0,[7]
Anolis_tropidonotus,0,[7]
Anolis_umbrivagus,0,[7]
Anolis_uniformis,0,[7]
Anolis_utilensis,0,[7]
Anolis_utowanae,0,[7]
Anolis_valencienni,0,[7]
Anolis_vanidicus,0,[7]
